x,y,z,qx,qy,qz,qw,J1,J2,J3,J4,J5,J6
-1.006465454913983842e-01,1.005012091536510929e-02,3.158932547535538427e-01,-2.414927329552837565e-01,-4.668744675107714959e-01,-1.325209322327461636e-01,8.403259451168254568e-01,1.310885245600594828e+00,7.561905734999250228e-01,1.949037440983702574e+00,1.808205631591885520e+00,-2.341897752430284640e+00,1.472526585843558777e-01
5.669340805468064265e-02,4.739001888375088400e-02,-3.339067756701960543e-01,7.672388649438649511e-01,-4.628577767750525207e-01,-1.115911959800472975e-01,-4.297145652386577530e-01,-2.038893271011723130e+00,-2.745918868721367367e+00,-2.447116735494281770e+00,-1.231248013996297797e+00,-6.604261294618538614e-01,1.376797472211104711e+00
1.513099224413072194e-02,1.695829354033479008e-02,2.834649917464635571e-01,-3.107242862915283177e-01,-1.922371792812503921e-01,-2.820013016551163251e-02,9.304300282499792241e-01,-1.564185650075522238e+00,-3.234759953129762167e-02,1.716626215015581103e+00,-2.197493693837335726e+00,-2.331343246937448210e+00,-7.195936735681458529e-01
-5.258918614509827671e-01,1.199833191952704853e-01,4.484413934204299346e-01,-3.639506748573024253e-01,-5.437806187715155115e-01,7.142385240173652061e-01,2.484066740827986786e-01,1.841876975122255011e+00,9.624209689922071931e-01,-1.420542944255084761e+00,1.397917633825143113e+00,9.233767361561211473e-01,-8.483671499938325589e-01
-6.339007284728498393e-03,6.468667657687975081e-02,3.693486282396719889e-02,-2.108970054782524362e-01,-4.473631013171411874e-01,3.428973574881699626e-01,7.986301464932601402e-01,-2.814970021638905529e+00,-2.401430374393202172e+00,2.074846796077546074e+00,2.170596348176449197e+00,1.641121306524230938e+00,-1.866545569694248341e+00
2.111642785970387418e-02,1.187455719968479734e-02,1.708871886906523363e-01,-2.127059745026723125e-01,8.304191388999009327e-01,3.644920323231204407e-01,3.637386156741919119e-01,-2.913277354922393148e+00,-1.535045873117155679e+00,1.492488708528119545e+00,2.657846624350971076e+00,-6.071694661455699915e-01,-4.808258943491932058e-01
-5.262776791522835729e-02,3.995581773243573470e-02,3.835901197254635853e-01,-3.878280579341679135e-01,2.303948298700675412e-01,8.895977181715231108e-01,-7.157876551166730827e-02,2.200887583106685419e+00,6.546980557751309604e-01,2.249165856031684285e+00,-2.797396085718808045e+00,-2.714898157069149498e+00,-5.349711583607374976e-01
-3.332230306317789104e-04,1.397086839893839638e-01,3.210182091825905526e-01,3.972089806056560701e-01,-1.358522665325960777e-01,9.059073839263154237e-01,-5.568661555483375714e-02,-1.566398798758026345e-01,-2.419299595693331639e-01,2.504731597678719446e+00,-1.812781299125180823e+00,-2.344773909535899925e+00,-2.129056595981621225e+00
4.078819863468083895e-01,2.938144987636905903e-01,1.249647706985803075e-01,6.938212680336490745e-01,2.301198452905624525e-01,6.534711276700603255e-01,-1.965512404673328828e-01,9.606662967179722123e-01,-1.658301642599596892e+00,-1.552218737610725929e+00,1.654235174858654567e+00,-2.290434967565424529e-03,-1.116916528588536295e-01
8.302899233065795526e-02,4.801530933902854736e-02,4.999578565030570604e-02,2.567561249104064469e-01,4.608351327669273911e-01,-6.324137203794555351e-01,5.672390668884658149e-01,7.914150326837545713e-01,-1.418614483342843346e+00,2.392973926646840610e+00,-8.709414896925395944e-01,-1.671856113117642817e+00,1.739373277442399335e+00
1.093631265139735111e-02,1.556786266961203598e-02,3.464294263006143515e-01,5.741545712046188799e-01,8.105431108077554292e-01,-5.505896642930411394e-02,-1.016607303862430145e-01,-2.474427549623078093e+00,6.328028320126892758e-01,2.376437635610745502e+00,-2.038203367389224141e-01,-1.321317720536830276e+00,-2.537259170733316971e+00
2.190321642193918950e-01,2.244441050512459845e-01,4.817774405674321581e-01,1.157380404805526675e-01,-6.077623283152178146e-01,-4.970274911310068044e-01,6.084351496475242094e-01,9.122474876136790201e-01,-6.088886602211736054e-01,-2.295990680552106866e+00,1.916085457483949206e+00,-1.903331055814310391e+00,-5.278178915920830327e-01
1.333462342297485684e-02,-1.475289649244006518e-01,2.810827335573082841e-01,-2.423201257019997334e-01,-3.143206478541903381e-01,7.919415194177248374e-01,-4.640173669536896695e-01,-2.029231936086057786e-01,8.370150886612659491e-02,1.355436559609008995e+00,2.960611805203283708e-01,-2.200047580668922365e+00,1.134175157384019528e+00
4.462961568136498691e-01,-1.343879795292363954e-01,-9.062203541873081747e-02,6.776623815399983597e-01,3.766182417236361712e-01,-3.903506052350962374e-01,-4.965468775847143856e-01,-1.283844214479904489e+00,2.318140128269106981e+00,-2.115530509303822804e+00,-2.874288847964038496e+00,-2.720921335185105150e+00,4.263192613609159132e-01
-4.236402166621820731e-03,1.179671380191549684e-01,-1.465658579605360612e-01,-1.932010558739055139e-01,7.887662773892984980e-01,-3.339177342759754863e-01,4.785604020378574908e-01,2.793260441711127307e+00,-2.642046304593629102e+00,2.802325768241647808e+00,2.096450057598730154e+00,-2.170208219522945736e+00,-4.006365929480031340e-01
-3.197938571989568102e-01,-3.210317513333901113e-02,4.215125107028714346e-01,5.611706579376629644e-01,-9.019887686072411426e-02,7.176549721678154858e-01,-4.023965658472836715e-01,-1.677946609357348740e+00,-7.164014854608846683e-01,-2.392798584589252986e+00,5.337513155482511706e-01,2.680413908125841793e+00,-3.255740035676293331e-01
2.278312252011440581e-03,-1.085670693146035537e-01,-3.299738529111008734e-01,-1.757482636515537433e-01,-6.672676489213116291e-01,-3.647322024141392838e-01,6.251694594656891368e-01,-2.729481380548746117e-01,2.754426204667232092e+00,-1.009831369196418471e+00,2.627018922794606581e+00,-1.467060247887433277e+00,-1.756102551983694804e+00
-2.004001740384440955e-02,2.429867513383391908e-01,5.685114773108280728e-01,6.279050934810521678e-01,7.425979236703504904e-01,2.317403039930487352e-01,2.408212711213815124e-02,-1.141920069538686633e-01,-6.475212515934956059e-01,-1.453794320181386990e+00,2.658987603052405113e+00,2.252256331956730584e+00,-1.998507036522718883e+00
-1.243193011821974170e-01,-1.757744333634377321e-01,-3.128545320479917402e-01,-4.641470376661779307e-01,7.973770265774139387e-01,-8.595831278457381763e-02,-3.759901240398524913e-01,-2.520051743125560684e+00,-2.794999317948279050e+00,-1.194562572913219212e+00,1.172787617889273548e+00,1.519707967841270602e-01,2.393157699919088444e-01
2.830325765574100497e-02,3.932307458696494146e-02,3.371368868057829649e-01,2.300250105400799272e-01,7.480938525995837196e-01,5.613144616168221912e-01,2.690170206670313702e-01,8.929371369813683401e-01,-1.198590700482093485e+00,8.991343099471369449e-01,-2.020465059734877222e+00,2.981688590719657306e+00,-2.207614304324473586e+00
-3.758041982318590102e-01,-1.701646622825792043e-01,1.504762683348931374e-01,-6.497331057117532449e-01,3.567981523508838015e-01,-2.530986254141497360e-01,6.216776139082250685e-01,-2.003409492186173146e+00,-1.424827522489228615e+00,-1.987779170199996726e+00,2.534389941070422481e+00,2.696658852845479792e+00,2.671842626858861536e+00
1.086173990468753403e-01,1.109407071550509577e-01,6.336171272255946008e-01,-2.381911021682836527e-01,5.672233790326745850e-02,9.644991398176070430e-01,9.893929715609649234e-02,9.247371474425594151e-01,-1.482825087785557550e-01,-2.391107025607233094e+00,-4.240780671986383865e-01,1.285690127218114931e+00,9.068886436578962318e-01
4.457264868270751634e-01,-3.296297207262705031e-01,2.093699227363087501e-01,1.247848615804597050e-01,4.357500531158778334e-01,-4.640033235678137080e-01,7.610857673402376955e-01,-9.594058086725865131e-01,1.973563097861628535e+00,-2.625046937938384062e+00,1.630223094195641487e+00,-1.735782665405780634e-01,-4.568752771627346831e-01
1.015984245630961735e-01,2.061143219245702846e-02,3.868671399741019368e-01,3.174099249223906738e-01,8.888963783015617626e-01,1.935484930615442856e-01,2.676810584197824028e-01,1.487330409621724137e+00,-1.287339333304790667e+00,4.602482354508534712e-01,2.142018948396939848e+00,-2.994090698763865355e+00,1.388355018264497254e+00
3.955281417457622850e-01,2.364565932784322144e-01,2.757709641677317247e-01,3.310199704341521554e-01,5.234965435047370663e-01,-2.571874893507754556e-01,7.417760736460911053e-01,-2.211461849050714523e+00,7.554061309106998578e-01,-1.560904823327247115e-01,-1.783603389103551873e+00,1.676158456576523292e+00,-2.319611406624442651e+00
-5.100524244459910678e-02,-4.327749630517646051e-01,5.500986813336632419e-01,4.320152682535433747e-02,-1.659162885246792396e-01,8.864505943146192557e-01,4.298962166865539780e-01,9.812246320012318890e-02,1.109290022958329125e+00,-2.290210554159662237e+00,6.184938566272459859e-01,-5.744540335065373426e-02,-1.416929255783953900e+00
-1.206805869717716140e-01,6.261596857211254585e-02,2.892788143206263124e-02,-1.350706918530470979e-01,6.916218162150375992e-01,5.279363443962503677e-01,-4.740236152379710965e-01,1.904755688387063550e+00,2.170482863254886041e+00,1.110879251167231629e+00,-1.145086269688671221e+00,2.797453260476171266e+00,2.556251231707792115e+00
-9.354154109105729253e-02,3.051509372979971935e-01,3.357700196122618275e-01,1.827970944970554179e-01,6.537292358343856080e-02,7.062244396282533199e-01,6.808514110856705992e-01,2.787329072250102513e+00,1.881092027836976932e+00,2.718662973436689612e+00,-2.108191863233787267e+00,3.213532846913196295e-01,-2.937667443275771895e+00
-2.166375150287010998e-01,1.079089045951919512e-01,5.525178402770299924e-01,8.718500737165897352e-01,3.796566492935417314e-02,1.508416904571702744e-01,-4.644166681621931803e-01,-1.223949098382484113e+00,-3.892035016116635049e-01,-2.172385719757035538e+00,-1.062726363490787973e+00,-1.805278034993728520e+00,-2.468789285437267722e+00
4.615194117403867979e-01,1.667575340008366491e-01,5.054072960625428657e-01,-2.745084025901284308e-01,1.760906735908200627e-01,8.192875568343320758e-01,4.715984635239799383e-01,-1.880982778246710563e+00,1.010704983961274728e+00,-1.698439924304363302e+00,-7.340938724177901165e-01,-1.137225511709088588e+00,-2.519085136497132282e+00
-1.711467099053944063e-02,-1.383799887295370235e-01,2.184104228806310333e-01,8.445662959190870511e-01,-2.001869143835849629e-01,3.770444819876411224e-01,3.232188572929560189e-01,2.722243379723181533e-01,3.744794353321121427e-01,1.468298396983381160e+00,-8.041482849951555600e-01,-1.219162352615237976e+00,-2.273106852666672673e+00
-1.064751593107080146e-01,5.108585832494305645e-02,-2.379576980085089388e-01,-1.610359166110891527e-01,2.803534011233347889e-01,8.217021356589854220e-01,4.693346399886414999e-01,1.746448605596619075e+00,-2.762400293430835596e+00,-2.739193396968004901e+00,-2.384845808965548652e+00,2.071683077820311247e+00,-1.961669462076839565e+00
-2.003526896198916663e-01,1.049808069550058065e-01,5.594331845628763844e-01,6.071941285532792554e-01,5.774321194936815616e-01,3.707317580057458151e-01,4.005563646148053714e-01,1.968117320441367113e+00,-5.497492423524263927e-03,-4.665903518732035238e-01,1.461018672902292259e+00,-2.835563980529737904e+00,1.303020617721093899e+00
1.463898425142461102e-04,3.971154136117472505e-03,-3.136543834242360718e-01,7.773675366588738145e-01,5.609949915821641486e-01,2.803780481378829736e-01,-4.870813577867375704e-02,-1.866167880514909339e+00,-2.519375083419906680e+00,-2.635104857166427283e+00,1.845079028099307017e+00,2.761135969045156457e-01,1.973048779128094843e+00
4.661442737200088837e-02,3.412528648998717773e-01,2.851538982552377921e-01,1.523294464462071340e-01,-5.517474261988506434e-01,3.730867255971589969e-01,7.301895730640962645e-01,2.201051685036192751e-01,-1.802723900980328864e+00,-4.605177442722059311e-01,-5.838499001202546168e-01,1.798992555818312411e+00,-1.752107590862187037e+00
-2.714761373580941162e-01,4.606922149999489458e-01,3.954461472358652419e-01,2.759180151016141225e-01,-4.461375143618513950e-01,-3.031580723644268505e-02,8.508299001874686240e-01,2.664461782030016934e+00,9.680263507827033820e-01,-1.122830837090502021e+00,2.037777432240414299e+00,1.537748981709268215e+00,2.708806581822885029e+00
-9.879403673879001702e-02,2.423247823408919144e-01,2.229377410442777430e-01,4.941478777515334042e-01,-2.578236112695252158e-02,5.642738136553940853e-01,6.608692820756411068e-01,2.699304968810779748e+00,6.203852050639344640e-01,7.042658921714783915e-01,2.885120394814853384e+00,-2.345877110045177183e+00,-2.454699272338266347e+00
4.999466843192043597e-02,-4.886937312339814654e-01,4.029269186749873111e-01,-2.543896914040497115e-01,8.990584282866380672e-01,2.547549347441656065e-01,2.491580836690006351e-01,-8.554546952095609669e-02,9.089978412838224386e-01,-1.258858038795203083e+00,6.236270253238549444e-01,2.461587601682342807e+00,-8.186228137612250322e-02
-5.112748296463564927e-03,7.290397708135944177e-02,2.229426630777972262e-01,-8.318705764906735300e-01,8.988463811421504301e-02,2.701476643151609191e-03,5.476356433104945243e-01,-5.492498398620515587e-02,-1.633203778784477977e+00,1.223896105517743749e+00,1.522736437668561926e+00,2.997065804881057893e+00,-1.443280658843558495e+00
-1.393537322142857637e-01,-6.918725557896448358e-04,2.423391424476549830e-02,-5.913879821199152786e-01,-4.035220853849081912e-01,6.280416821412279083e-01,3.049488919539924403e-01,1.553581524848278939e+00,2.144732861854146577e+00,1.091745618015481867e+00,1.080671732593307510e+00,2.994717792972451775e+00,1.592890242971177983e+00
1.915301603493586302e-01,-8.889786568711058323e-02,9.148992690077754897e-02,7.348342701992802706e-01,-8.428330923062123115e-02,3.196617107477808251e-01,5.922257253848653979e-01,-1.327421362341941746e+00,2.870449065720704240e+00,2.011490635941318494e+00,-9.405511361238443335e-01,1.565447428041765399e+00,-2.395093458428521949e+00
7.371962247503333066e-03,2.487633822041747378e-02,3.067071253452887669e-01,6.332276295868032312e-01,-2.310160624561419240e-01,4.787702368117042750e-01,5.625241402450246175e-01,2.923408197179004020e+00,-7.257839472829963334e-01,1.166350431366765861e+00,-3.827987982915326270e-01,2.768529145413751280e+00,7.088084234482838752e-01
-1.837743361329379627e-02,1.879975405717523862e-02,6.633891673051043325e-01,8.555151227836929051e-01,5.748061435992361801e-02,1.504957838392389224e-01,-4.920781164691458431e-01,7.920729462531443943e-01,1.282906502312299857e-01,-2.031907115814424181e+00,-2.640633271860487685e+00,1.772866583985321043e+00,-5.426630736803628174e-01
-1.392887720672005558e-01,-2.904538279238532694e-01,2.365251574784774102e-01,-4.210925626306550873e-01,7.843830975711619802e-01,-1.968299570873148219e-01,-4.107093594439054085e-01,4.019592594533447638e-01,1.995032041796985567e+00,2.478170828945998494e+00,-2.851741722058509509e-01,2.427345497091637938e+00,-1.698868213409490346e+00
-6.430914312975963276e-02,4.750707117019062342e-02,3.074875398825521050e-02,2.491775131433915935e-01,-6.589871048022503119e-01,-4.357031931639961386e-01,5.601868350066084856e-01,-4.553703121016576816e-01,2.992365449932465005e+00,9.660432366637601298e-01,9.743168142759621730e-01,-1.076541874500750895e+00,-5.383987403270218408e-02
5.024407049452484647e-02,2.221156799956806871e-01,1.564446614519084400e-01,9.844918050059748849e-01,2.633074799221879134e-02,1.178954283660893915e-01,1.272133859176164949e-01,2.022506446797196489e-01,-7.343576682197570094e-01,2.747713492592430029e+00,2.684423175130420169e+00,6.960875212999440009e-01,1.343232327751961996e-01
-1.722504053796805046e-01,6.550049235209681742e-02,1.451700627875608107e-01,-5.739801316845760670e-01,5.107886872189479899e-01,6.392268340141555871e-01,-3.210576454066459140e-02,1.801301523843140018e+00,1.615804698232517822e+00,1.510215086051294620e+00,1.141327627468148975e+00,-2.655529013229189772e+00,-2.755809133038091829e+00
-1.252525706123685800e-01,-5.283584124874515786e-02,3.330979549208250290e-02,-1.874228906695104557e-01,-1.601678987756891548e-01,6.221983622206017639e-01,7.430263133327560388e-01,-1.999258611287006104e+00,-1.523130246471334326e+00,2.520414081113807825e+00,-1.076876571943854222e+00,-2.832505221795086570e+00,1.538830014866139351e+00
-6.180713458391957904e-02,-3.146910430131645564e-02,1.762226873289765572e-01,9.645868153755254859e-01,-8.381176670874150580e-02,1.599980853779759959e-01,1.922198638024789075e-01,-1.681381285386721602e+00,-5.208071608906523764e-01,2.032309145983555609e+00,-1.968052547023990462e+00,4.798769677706120618e-01,6.677577044630611525e-01
-2.771392399027514108e-01,2.205678791159493279e-01,4.663871631470899448e-01,-5.199198168460923419e-01,4.563666095648802878e-01,7.167903509347673952e-01,8.731835163237829101e-02,-8.982721858785085445e-01,-1.272180860773256317e+00,-6.977421653357778197e-01,-1.865600813417924719e-01,-1.134944441578658036e+00,-8.994240720107731235e-01
-3.596484770615898108e-01,-1.102090218615887074e-01,3.682237028472724050e-01,5.857824050907846358e-02,2.699709134770677532e-01,6.203994335103389934e-01,7.340223692199503436e-01,1.245460418212290143e+00,4.717282458580558391e-01,3.464929844849562457e-02,1.748609372225056191e-01,-2.624413978922254920e+00,-3.648522456256442226e-01
-7.598252549480348506e-02,1.306500483718411321e-01,4.567567790844659914e-01,3.112853445212370174e-01,-3.271941049783282374e-01,8.077393545613918979e-01,3.789493198918187367e-01,2.613331328294262512e+00,1.193297993534137902e+00,2.689348057960870619e+00,-1.045977040720912132e+00,-1.920553258694370768e-01,2.856954050428971215e+00
5.817505198458430282e-01,5.180659981636019651e-02,2.270221012018459605e-01,2.638616033135157135e-01,-1.599896304971336058e-01,5.824067618650112799e-01,7.520523493508441959e-01,-1.712816392157362033e+00,1.667265312508771302e+00,-1.909656688541018887e+00,-2.502637200520660521e+00,1.391554101529523635e+00,-5.332246099885615820e-01
1.456063964945112088e-01,1.356536083783601611e-02,1.199673234000039890e-01,1.130000198601493477e-01,9.822879821407140000e-01,1.363514682140451739e-01,-6.123391845541677897e-02,-1.631205113656204686e+00,1.461409190113885259e+00,1.481554920186152202e+00,2.840287785057525660e+00,1.308395616181828203e+00,-1.211945155224861681e+00
-1.687113784704134534e-01,-1.940865601541795216e-01,5.627353616045068785e-01,-9.205011183465353075e-02,-8.095539958317855833e-02,-5.228885884813689877e-01,8.435404698208129881e-01,-2.428684354394502698e+00,-1.102731647724000563e+00,-7.201442597396976453e-01,4.458414803939820814e-01,4.496659680686967420e-01,-8.184029209303718133e-01
-2.835896011470527833e-01,2.013687428067227614e-01,5.128456469258845241e-01,-3.112438897643746843e-02,4.033858032266067761e-01,8.012385393090699637e-01,-4.408264616512228007e-01,-9.660613133323927570e-01,-1.173846426560667844e+00,-8.758631809165455806e-01,2.390467606943106560e+00,4.205911278003560128e-01,-2.276668253703656664e+00
-2.787708161076667968e-01,3.578390499574337635e-01,-1.797877773003880297e-01,5.063492467951021814e-01,5.215991622691964480e-01,6.866763123567493077e-01,4.516219463448518413e-03,2.373923889515683783e+00,2.457602663592693304e+00,-1.936504137479696075e+00,1.607295398036512779e+00,-1.519941740248364148e+00,2.854202475699014308e+00
7.852691370297418261e-02,5.746919142258027913e-03,-3.401912268065331313e-01,6.704487050116851865e-01,-6.006981107302099276e-02,6.179965753400941120e-01,4.061654645753652315e-01,-2.285461148360898420e+00,-2.929890961611394395e+00,-2.034186837361733780e+00,-1.773421005685668739e+00,1.615941006954549231e+00,8.311586347628074911e-01
4.060160775549312984e-01,-4.158859980001800710e-02,-1.662311734339276537e-01,6.783298530483706790e-01,3.317397080940367449e-01,5.689498489367899037e-01,3.257505885364811449e-01,-1.483690241332342508e+00,2.863352043845543093e+00,-2.696485764877381008e+00,2.444751711701816710e+00,3.389694393718301058e-02,1.289422294669845925e+00
2.645863587516908977e-01,-1.970029931447183635e-01,3.752812497235914480e-01,2.789499392816814291e-02,-5.532801637798290262e-01,7.689372736031516720e-01,3.191212919021002570e-01,-1.065546408822583446e+00,2.059837330766827179e-01,3.050119521685470403e-01,1.147849449482591488e+00,-1.629735127055344179e+00,-1.483564149287137424e+00
-5.426638957754045464e-03,3.123960799441966030e-04,1.819893568274079665e-01,9.709604396226925171e-01,7.740523763312627537e-02,7.479542770587570798e-03,2.262483377057392941e-01,-2.489237386904363802e-02,-5.820599805794355319e-01,1.761049730367750144e+00,-5.481187069948489921e-01,-7.420961829653194286e-02,-2.719966799262273138e+00
2.408705481666464920e-01,-1.261096521642748325e-01,4.969460314719487681e-01,5.509982821076132159e-02,-4.404295154493506614e-02,9.834963554301801025e-01,1.666107625752563659e-01,2.071762137338011733e+00,-1.351330409880745931e+00,-3.678650276143486941e-01,1.257980227379120741e+00,4.950946902986874676e-02,4.816405102035936636e-01
-4.527495258091260993e-02,1.864619206744984325e-01,-8.510143118998884926e-02,-5.412416958741472772e-01,7.927421147616298125e-01,-3.263661620458235824e-02,-2.784819875921085153e-01,-1.069731637020816528e-01,-1.573898479151657259e+00,2.973407420178909355e+00,-1.917715071081467437e+00,4.887889880280638089e-01,7.860172397406168798e-01
1.456796868045659166e-01,1.044121774407395786e-01,1.780368517927157224e-01,-6.802421684423617387e-01,-4.582731667007866605e-02,1.881276100416176267e-01,7.069501054952065378e-01,1.219404097781673357e+00,-7.369925577067206746e-01,2.447284392733806158e+00,-1.537190495545255997e+00,1.637160881520415501e+00,-2.809022646417231428e+00
4.374456141231089848e-03,-6.285429738250847276e-02,-4.289289564581706682e-02,-1.116396411993816028e-02,-4.847746538034513608e-01,8.224712715512620953e-01,-2.973380372702478236e-01,-2.690654901391721587e+00,2.722251946089681240e+00,6.191708491527307956e-01,2.162661564194714003e+00,-7.965842712558046657e-01,1.653355549504362365e+00
-3.328157362205257791e-02,8.242677699734443642e-02,2.473917562332567377e-01,-4.967278102312618904e-01,5.543412678324800558e-01,6.670350191008341811e-01,3.211735689444275565e-02,2.856888061187175865e+00,-4.569915598488361042e-02,1.613745161899700520e+00,2.743652599716209117e+00,1.459983340940946839e+00,-7.776781165076451785e-01
-3.473863627299081380e-02,5.423754183913217369e-02,5.728590212277321347e-01,1.205841870356155615e-01,-6.823474126835263887e-01,7.159208173846375312e-01,8.555025117654588285e-02,-3.025614871021513608e-01,-8.950638741812273480e-01,-3.467687286846210526e-01,2.878117990678922489e+00,-1.212549623425785539e+00,2.932040545036393553e+00
-6.091246729820187084e-02,-4.738220638218420544e-01,3.240494852284973581e-01,6.451970977161288756e-01,-5.701931800926585137e-01,2.386230693591486762e-01,4.490651102503123715e-01,1.033075530693388089e-01,5.902851739714374268e-01,-2.260187316357971099e-01,2.459154608825692812e+00,-1.838181881874376700e-01,1.950354609549491691e+00
-4.456848235821503357e-02,-1.342149774455607750e-02,-3.323557119830019002e-01,4.750505010930007321e-01,3.264311796628524553e-01,4.138575229620715668e-01,7.046216410549044351e-01,1.519763572139771313e+00,2.933887838494946720e+00,-1.146703257468100867e+00,-2.677877532481729439e+00,-1.720496471006326411e+00,2.968474751113825860e+00
3.269482780174139819e-02,-2.110635261846511568e-01,-2.363341908823361481e-01,8.228595777687846002e-01,-4.134996860903825122e-01,-3.474674534944126592e-01,-1.765969808333126279e-01,2.960303186503737471e+00,-2.806424640477028110e+00,-7.490415738812359336e-01,-3.373625732529905719e-01,-1.886865254941638925e+00,1.130430486910334764e+00
-1.124010834955613963e-01,1.833814886810732347e-01,4.456680298369714577e-01,6.362446683127335190e-01,3.255559848554380187e-01,6.169505341519333497e-01,-3.295118528643096734e-01,2.370303906309896291e+00,1.203682944647821884e+00,2.788281952765402139e+00,-1.439812710267260654e+00,1.713496901366307945e+00,-2.266336019540442503e+00
9.103998990581983058e-03,-1.089108190957131794e-01,9.667852128093341879e-02,3.141115530784819310e-01,4.090331837168376117e-01,8.171040585697391112e-01,-2.576174378995967351e-01,-2.588824833531111480e-02,1.770195479390050508e+00,1.227768249947439827e+00,-2.632870935590736483e+00,-7.276932905000039753e-01,-2.758278407181712577e+00
-2.809518494639043698e-02,1.190787569529464796e-01,1.812279336622145687e-01,1.561566278378830608e-01,3.862081576342403788e-01,-1.494372910968561619e-01,8.967312097773226798e-01,2.710136703937470415e+00,1.857106797768865114e+00,1.608243799208826985e+00,2.353074678498858319e+00,-6.361230162373407993e-01,2.882463817726753419e+00
